voted_for,gender,education,age,white
Biden,Male,Post-grad,88,Yes
Trump,Male,4-year,52,Yes
Biden,Male,Post-grad,52,Yes
Biden,Male,Post-grad,76,Yes
Biden,Female,Post-grad,68,Yes
Biden,Male,Post-grad,47,Yes
Trump,Female,Post-grad,62,Yes
Biden,Male,4-year,67,Yes
Trump,Female,4-year,64,Yes
Trump,Male,Post-grad,74,Yes
Trump,Male,Post-grad,40,Yes
Biden,Male,Some college,81,Yes
Trump,Female,Some college,66,Yes
Trump,Female,4-year,59,Yes
Biden,Female,4-year,73,Yes
Trump,Male,4-year,57,Yes
Biden,Male,2-year,73,Yes
Trump,Male,2-year,72,Yes
Trump,Male,Some college,66,Yes
Biden,Female,2-year,65,Yes
Trump,Male,4-year,67,Yes
Biden,Female,Post-grad,83,Yes
Biden,Male,4-year,67,Yes
Biden,Male,2-year,68,Yes
Trump,Female,Post-grad,82,Yes
Trump,Male,4-year,79,Yes
Biden,Female,Some college,65,Yes
Trump,Male,2-year,68,Yes
Biden,Male,Post-grad,71,Yes
Biden,Female,4-year,61,Yes
Trump,Female,Post-grad,45,Yes
Trump,Female,4-year,60,Yes
Trump,Male,Some college,66,Yes
Biden,Female,4-year,70,Yes
Biden,Male,2-year,73,No
Trump,Male,4-year,74,Yes
Biden,Female,2-year,59,Yes
Biden,Male,Some college,74,Yes
Trump,Male,Some college,87,Yes
Biden,Female,4-year,69,Yes
Biden,Male,4-year,72,Yes
Biden,Male,4-year,63,Yes
Trump,Male,4-year,74,Yes
Trump,Female,Post-grad,50,Yes
Biden,Female,4-year,57,Yes
Biden,Female,Some college,61,Yes
Trump,Female,Some college,69,Yes
Trump,Male,4-year,73,Yes
Trump,Male,4-year,78,No
Trump,Female,Post-grad,73,Yes
Biden,Female,4-year,58,No
Biden,Male,Post-grad,75,Yes
Trump,Male,4-year,52,Yes
Trump,Female,2-year,65,Yes
Trump,Male,Post-grad,69,Yes
Trump,Male,2-year,66,Yes
Biden,Female,4-year,62,No
Trump,Female,2-year,75,Yes
Biden,Male,2-year,68,Yes
Biden,Female,2-year,58,Yes
Trump,Male,4-year,58,Yes
Trump,Male,4-year,65,Yes
Trump,Male,2-year,79,Yes
Trump,Female,4-year,63,Yes
Biden,Male,4-year,47,Yes
Trump,Female,4-year,65,Yes
Trump,Male,Some college,65,Yes
Biden,Female,Some college,46,Yes
Biden,Female,Post-grad,70,Yes
Biden,Female,4-year,59,Yes
Trump,Male,Some college,59,Yes
Biden,Male,Post-grad,32,Yes
Biden,Male,Post-grad,70,Yes
Biden,Female,Post-grad,31,Yes
Biden,Female,Some college,69,Yes
Trump,Male,Some college,74,Yes
Biden,Female,Post-grad,46,Yes
Biden,Female,4-year,66,Yes
Biden,Female,Post-grad,70,No
Biden,Female,4-year,62,Yes
Trump,Male,Some college,58,Yes
Biden,Male,Post-grad,67,Yes
Biden,Female,Post-grad,48,Yes
Trump,Male,4-year,39,Yes
Trump,Female,Some college,65,No
Biden,Female,4-year,72,Yes
Biden,Female,Post-grad,34,Yes
Biden,Female,4-year,60,Yes
